# Time[s], Position[m]
0.000,-0.001
0.010,-0.070
0.020,-0.010
0.030,-0.010
0.040,0.148
0.050,0.059
0.060,0.015
0.070,0.031
0.080,-0.137
0.090,0.101
0.100,0.175
0.110,-0.133
0.120,-0.073
0.130,0.015
0.140,-0.172
0.150,0.078
0.160,-0.212
0.170,0.120
0.180,0.009
0.190,0.151
0.200,-0.002
0.210,0.099
0.220,0.028
0.230,0.127
0.240,-0.040
0.250,0.003
0.260,-0.097
0.270,0.191
0.280,0.144
0.290,-0.078
0.300,0.031
0.310,0.233
0.320,0.031
0.330,0.141
0.340,-0.046
0.350,0.085
0.360,0.084
0.370,0.164
0.380,-0.015
0.390,0.081
0.400,-0.089
0.410,0.005
0.420,0.241
0.430,-0.041
0.440,-0.122
0.450,0.077
0.460,-0.037
0.470,-0.037
0.480,0.132
0.490,0.136
0.500,0.149
0.510,0.071
0.520,0.075
0.530,0.117
0.540,0.046
0.550,-0.032
0.560,0.068
0.570,-0.028
0.580,-0.048
0.590,0.125
0.600,0.064
0.610,0.160
0.620,-0.122
0.630,0.083
0.640,0.148
0.650,0.030
0.660,0.156
0.670,0.091
0.680,0.034
0.690,0.090
0.700,0.070
0.710,0.183
0.720,0.122
0.730,0.107
0.740,0.124
0.750,0.296
0.760,0.012
0.770,0.255
0.780,0.144
0.790,-0.179
0.800,-0.119
0.810,0.105
0.820,0.019
0.830,0.093
0.840,0.013
0.850,0.217
0.860,0.194
0.870,0.196
0.880,0.031
0.890,0.111
0.900,0.333
0.910,0.130
0.920,0.074
0.930,0.271
0.940,0.147
0.950,0.286
0.960,0.146
0.970,-0.093
0.980,0.332
0.990,0.096
1.000,0.044
1.010,0.076
1.020,0.159
1.030,-0.008
1.040,0.375
1.050,0.024
1.060,0.358
1.070,0.105
1.080,0.286
1.090,0.263
1.100,0.129
1.110,-0.006
1.120,0.055
1.130,0.101
1.140,0.180
1.150,0.251
1.160,0.165
1.170,0.020
1.180,0.130
1.190,0.071
1.200,0.193
1.210,0.137
1.220,0.267
1.230,0.010
1.240,0.279
1.250,0.030
1.260,-0.049
1.270,0.302
1.280,0.312
1.290,-0.030
1.300,0.116
1.310,0.079
1.320,0.353
1.330,0.395
1.340,0.213
1.350,0.166
1.360,0.264
1.370,0.321
1.380,0.077
1.390,0.157
1.400,0.200
1.410,0.077
1.420,0.244
1.430,0.134
1.440,-0.026
1.450,0.367
1.460,0.118
1.470,0.155
1.480,0.119
1.490,0.246
1.500,0.244
1.510,0.269
1.520,0.072
1.530,0.318
1.540,0.258
1.550,0.076
1.560,0.271
1.570,0.334
1.580,0.282
1.590,0.262
1.600,0.223
1.610,0.236
1.620,0.390
1.630,0.133
1.640,0.069
1.650,0.212
1.660,0.222
1.670,0.200
1.680,0.216
1.690,0.072
1.700,0.251
1.710,0.028
1.720,0.195
1.730,0.110
1.740,0.058
1.750,0.237
1.760,0.338
1.770,0.245
1.780,0.181
1.790,0.193
1.800,0.376
1.810,0.274
1.820,0.157
1.830,0.273
1.840,0.134
1.850,0.317
1.860,0.339
1.870,0.190
1.880,0.042
1.890,-0.012
1.900,0.346
1.910,0.293
1.920,0.200
1.930,0.260
1.940,0.095
1.950,0.319
1.960,0.141
1.970,0.145
1.980,0.320
1.990,0.436
2.000,0.089
2.010,0.056
2.020,0.460
2.030,0.263
2.040,0.348
2.050,0.309
2.060,0.321
2.070,0.302
2.080,0.206
2.090,0.310
2.100,0.261
2.110,0.106
2.120,0.095
2.130,0.221
2.140,0.261
2.150,0.316
2.160,0.232
2.170,0.172
2.180,0.176
2.190,0.209
2.200,0.198
2.210,0.419
2.220,0.438
2.230,0.460
2.240,0.331
2.250,0.327
2.260,0.221
2.270,0.302
2.280,0.413
2.290,0.378
2.300,0.394
2.310,0.286
2.320,0.376
2.330,0.226
2.340,0.288
2.350,0.261
2.360,0.192
2.370,0.377
2.380,0.438
2.390,0.266
2.400,0.218
2.410,0.375
2.420,0.314
2.430,0.378
2.440,0.213
2.450,0.192
2.460,0.392
2.470,0.215
2.480,0.475
2.490,0.372
2.500,0.507
2.510,0.350
2.520,0.213
2.530,0.403
2.540,0.439
2.550,0.358
2.560,0.225
2.570,0.339
2.580,0.421
2.590,0.445
2.600,0.319
2.610,0.366
2.620,0.415
2.630,0.314
2.640,0.301
2.650,0.368
2.660,0.238
2.670,0.248
2.680,0.526
2.690,0.383
2.700,0.460
2.710,0.495
2.720,0.339
2.730,0.283
2.740,0.360
2.750,0.377
2.760,0.521
2.770,0.245
2.780,0.280
2.790,0.339
2.800,0.556
2.810,0.455
2.820,0.271
2.830,0.203
2.840,0.362
2.850,0.453
2.860,0.339
2.870,0.291
2.880,0.240
2.890,0.471
2.900,0.196
2.910,0.366
2.920,0.249
2.930,0.338
2.940,0.452
2.950,0.313
2.960,0.558
2.970,0.352
2.980,0.227
2.990,0.106
3.000,0.374
3.010,0.354
3.020,0.198
3.030,0.449
3.040,0.284
3.050,0.450
3.060,0.371
3.070,0.304
3.080,0.275
3.090,0.532
3.100,0.334
3.110,0.270
3.120,0.414
3.130,0.327
3.140,0.394
3.150,0.457
3.160,0.390
3.170,0.517
3.180,0.438
3.190,0.407
3.200,0.404
3.210,0.412
3.220,0.279
3.230,0.573
3.240,0.318
3.250,0.406
3.260,0.613
3.270,0.443
3.280,0.523
3.290,0.354
3.300,0.453
3.310,0.418
3.320,0.495
3.330,0.551
3.340,0.313
3.350,0.476
3.360,0.319
3.370,0.485
3.380,0.248
3.390,0.487
3.400,0.577
3.410,0.396
3.420,0.536
3.430,0.457
3.440,0.417
3.450,0.358
3.460,0.390
3.470,0.546
3.480,0.508
3.490,0.383
3.500,0.459
3.510,0.533
3.520,0.497
3.530,0.264
3.540,0.498
3.550,0.390
3.560,0.284
3.570,0.261
3.580,0.408
3.590,0.314
3.600,0.482
3.610,0.655
3.620,0.411
3.630,0.423
3.640,0.546
3.650,0.470
3.660,0.627
